,questions,answers
1337,I'm *not* a doctor!,"I'm sorry, Homer."
1338,Where's Mandalay?,Burma!
1339,Burma!,Oh...
1340,"I know, I'm sorry.",He's *paralyzed*!
1341,Hi...,Hi...
1342,I can't go nowhere.,Why?
1343,Did you bite it?,I don't remember.
1344,A B-24 Liberator.,Liberator...
1345,Liberator...,Have you enlisted?
1346,They're migrants.,Migrants?
1347,First pregnancy?,"Yes, for both."
1348,I don't think so.,You do it then.
1349,What's that?,It's just my heart.
1350,That's *it*?,That's it.
1351,I'm going home,"Let's go, Jake?"
1352,When?,Tonight. Just me.
1353,She up for this?,She's up for it.
1354,You'll be there?,Eight A.M. flight.
1355,Eight A.M. flight.,Calls?
1356,Calls?,We'll use the Euc.
1357,So that's it...,That's it.
1358,I have a good crew.,Minus one.
1359,I can't do that.,Why not?
1360,Something stupid.,Good boy.
1361,He's gone.,Uh-huh.
1362,What about...,What about what?
1363,Your mess.,Then shut up.
1364,Then shut up.,My place.
1365,Uh...,What?
1366,Him.,You sure?
1367,What?,Stand up.
1368,What happened?,Eee Oott Auught!
1369,Eee Oott Auught!,Sorry. What?
1370,Pretty much.,In over your head?
1371,In over your head?,Pretty much.
1372,You guys awake?,We're here.
1373,Peace of mind.,That's it?
1374,You sell it.,To who?
1375,What are you doing?,High five.
1376,I'm Bella.,Jack Manfred.
1377,Is it that bad?,How do I look?
1378,You're shaking.,It's the tension.
1379,I hate cheats.,All men are cheats.
1380,Why did you quit?,I got scared.
1381,I got scared.,I can imagine.
1382,Ouch.,Sorry.
1383,Eight-fifty.,Seven-fifty.
1384,Who was he?,She.
1385,Good night?,Not particularly.
1386,Not particularly.,And your lady?
1387,I want to hear it.,I've got a job.
1388,I've got a job.,What job?
1389,What's the time?,I don't know.
1390,How did it go?,Fine.
1391,Are you drunk?,Probably.
1392,I don't like it.,Why not?
1393,"The door, Jack.",Leave it.
1394,Leave it.,No. Answer it!
1395,Nothing about you.,Then what?
1396,Great.,Found a job?
1397,Found a job?,No.
1398,Near the casino.,In the casino.
1399,Absolutely not.,Toss you for it.
1400,Toss you for it.,I don't gamble.
1401,He doesn't gamble.,I'll watch.
1402,They mean it.,Who's they?
1403,It won't.,But if it does.
1404,I'm sorry.,What for?
1405,Is it yes?,Yes.
1406,Yes.,Thank you.
1407,Do you?,Yes.
1408,Hello...,Jack! It's Jani.
1409,Who...,Ross.
1410,Have I?,I'm Lucy.
1411,Nice car.,She's my baby.
1412,"Hey Jack, join us.",No thanks.
1413,Rough day?,"Rough life, Jack."
1414,We do. ,Where's the magnet?
1415,I don't think so.,Wipe your hands.
1416,Five.,I make it six.
1417,I make it six.,Five.
1418,I don't gamble.,Ever?
1419,Girlfriend?,Yes.
1420,It didn't go off.,"Oh, God..."
1421,"Oh, God...",It didn't go off.
1422,What the hell?,"Yoo hoo, bomb..."
1423,You are false data.,Huh?
1424,Right!,This is fun.
1425,Pinback...,"Yes, Doolittle."
1426,Doolittle...,Yes.
1427,Fred.,Wha?
1428,Out where?,Veil nebula.
1429,Veil nebula.,Who cares?
1430,Negative effect.,It didn't work?
1431,Sir?,Talk to the bomb.
1432,Sir?,Phenomenology...
1433,Who are you?,Bruno's girlfriend.
1434,Bruno's girlfriend.,"Oh, yeah?"
1435,"Oh, yeah?",Yeah.
1436,I'm on a break.,Guess again.
1437,Move it.,Where?
1438,What is it?,Police drone.
1439,Out there.,No way.
1440,But I'm afraid of--,Don't look down.
1441,You didn't...,Every week.
1442,When?,"Soon, baby."
1443,"Soon, baby.","Mommy, I'm scared."
1444,How'd you find me?,Wasn't that hard.
1445,Bent?,Bent.
1446,What's this?,Open it.
1447,None.,I'll wait.
1448,That's odd...,What?
1449,Gotta go.,Where?
1450,Where?,It's a secret.
1451,"Hey, Sketchy--",We gotta talk.
1452,We gotta talk.,What's up?
1453,I'm a toy to her.,A toy?
1454,He's sick.,For a change.
1455,Hawk.,"Pick a song, Hawk."
1456,"Pick a song, Hawk.",Got any KISS?
1457,No problem.,Thanks.
1458,Sorry.,It's okay.
1459,Jeremiah?,Yeah?
1460,"Right, slow...","Oh, screw it!"
1461,"What are you, high?",Yeah.
1462,What the fuck!,The paint!
1463,I found the Volvo.,Tickets?
1464,"Jam, listen up.",Hawk?
1465,"Oh, hi, mom.",NOW!
1466,What?!,"I said, I'm sorry!"
1467,That's it?,Yeah.
1468,I did?,"Yeah, you did!"
1469,GOOD MORNING!,Are you AFRAID?
1470,Are you AFRAID?,GOOD MORNING!
1471,Yeah.,Did you know him?
1472,Dr. Monnitoff?,Donnie.
1473,Like a spear.,Beg pardon?
1474,Dea ex machina...,What did you say?
1475,What did you say?,Our saviour...
1476,Hey...,Hey...
1477,Hey...,School's cancelled.
1478,Wanna walk me home?,Sure.
1479,You're weird.,I'm sorry.
1480,Donnie?,Yeah?
1481,And what?,Well...
1482,Hey.,Hey. You OK?
1483,Hey. You OK?,My mom is gone.
1484,My mom is gone.,Where is she?
1485,Come with me.,Where are we going?
1486,No. Frank.,Who's Frank?
1487,Do they know yet?,Know what?
1488,Know what?,Where it came from?
1489,"Oh, shit!",Grandma Death.
1490,His name is Frank.,Frank.
1491,I met a girl.,What is her name?
1492,Yeah.,What's her name?
1493,Rose.,Kitty...
1494,What is this shit?,Raspberry.
1495,"Really, Loretta?",You-betcha.
1496,Amber? Here.,"""Here,"" wh-wh-what?"
1497,Yah?,Oh-you-beccha.
1498,Mrs. Leeman?,Huh?
1499,Bye mom.,We was robbed.
1500,We was robbed.,It's okay.
1501,Hi...,Hi.
1502,"Okay... well, bye.",Bye.
1503,You could be quiet.,Hi.
1504,Hi.,Hi.
1505,That's right.,Okay?
1506,Okay?,Mm-hm.
1507,Yeah.,Dakota.
1508,Dakota.,Ohio...
1509,Ohio...,That bitch from...
1510,That bitch from...,What?
1511,What?,Wisconsin.
1512,Wisconsin.,"All right, then."
1513,"All right, then.",The bitch.
1514,"Uh, Gladys?",What!
1515,What!,We need more bars!
1516,We need more bars!,This is -- what?
1517,Harold!,Close up shop!
1518,"Here I am, Father.",Take a letter.
1519,Take a letter.,Who to?
1520,Father...,Take a letter...
1521,Hey you!!,All right -
1522,You swine!,Give me that again!
1523,Give me that again!,You worm!
1524,You worm!,Once more! 
1525,Once more! ,You upstart!
1526,Then it's war?,Yes.
1527,Bah!! ,THEN IT'S WAR!
1528,Oh yes! -- UPSTART!,That's it...
1529,"Mr. Merrick, sugar?","Yes please, two."
1530,"Yes please, two.",One or two?
1531,One or two?,"Two, please."
1532,Yes?,I found it.
1533,I found it.,Did you see it?
1534,What is it?,Like this. 
1535,Like this. ,I'll get my bag.
1536,Don't!,Shut up!
1537,What happened?,He fell.  He falls.
1538,You've never been?,"Alas, no."
1539,You alright?,y-y-yes--
1540,y-y-yes--,Want to come out?
1541,Want to come out?,You're English.
1542,Yes.,Won't be a moment.
1543,What's this?,The main spire.
1544,...Yyes,Yyyess.
1545,Yyyess.,Yyess.
1546,Hello...,My name is...
1547,My name is...,My... name is...
1548,My... name is...,John Merrick.
1549,John Merrick.,John... Merrick
1550,John... Merrick,"Say ""Merrick""."
1551,"Say ""Merrick"".",Merrick...
1552,Merrick...,"Say ""Mmmerrick."""
1553,"Say ""Mmmerrick.""",Mmmerrick.
1554,Mmmerrick.,"Say ""Mmmerrick."""
1555,"Say ""Mmmerrick.""",Mmmerrick.
1556,Yes.,The hospital?
1557,Oh yes.,Who are they of?
1558,Your mother?,Here.
1559,"Good morning, John.",Good morning.
1560,"Yes, John?",...Can you cure me?
1561,...my... home?,"Yes, John."
1562,The workhouse.,Yes! The workhouse!
1563,A dressing bag.,Very smart indeed.
1564,Very smart indeed.,Yes. John wants it.
1565,Yes. John wants it.,A dressing bag?
1566,Right! Where is he?,"Who, Father?"
1567,WHAT did you say?,I said welcome.
1568,I said welcome.,WELCOME?
1569,WHY?,Yes.
1570,It was different...,What was she like?
1571,Who?,Halfdan the Black.
1572,Halfdan the Black.,"But, Erik..."
1573,No!,I'll bring it back.
1574,REALLY?,Really.
1575,Scream.,Ah.
1576,Ah.,Louder.
1577,Louder.,Aaagh! Rape!
1578,Aaagh! Rape!,"Oh, thanks."
1579,What a stupid idea.,Why?
1580,"""But"" what?",But...
1581,But...,What?
1582,Faster!,Make your mind up.
1583,SHUT UP!,ROW!
1584,It's magic.,"What ""magic""?"
1585,What did he say?,Look out!
1586,A magic dishcloth.,To the oars!
1587,"No! Let go, Snorri!",I've got you!
1588,Who gets killed?,Nobody gets killed.
1589,"Wait, Erik!",Keitel Blacksmith?
1590,ROW!,DEATH!
1591,Hy-Brasil?,Is THIS Hy-Brasil?
1592,"Bye, Leif.",Bye... sorry...
1593,Bye... sorry...,Yeah... well...
1594,Yeah... well...,You will wait?
1595,How did he do that?,Do what?
1596,Are you all right?,"No, I'm not."
1597,Aaagh!,Got you!
1598,Well! Come on!,I... I...
1599,Sh! Hurry!,YOU do it!
1600,Relax!,I'm drowning! Help!
1601,Help!,Help!
1602,It's a tradition.,"I know, Dad."
1603,"Not now, Sven...",I must KILL! Kill!
1604,KILL! KILL!,Stop it!
1605,He drove me mad!,"Easy, Dad!"
1606,Well... I'm game.,Me too.
1607,Yeah.,Say hi to Naomi.
1608,Ms. Kruczynski?,Hi.
1609,How are you today?,"Okay, I guess."
1610,"Okay, I guess.",Here we are.
1611,You were not.,I was not.
1612,In the room?,In the world.
1613,How are you today?,"Okay, I guess."
1614,I'm sorry.,Why?
1615,Why?,Why what?
1616,It's okay.,Yeah?
1617,I'm not a stalker.,You know Wilmont?
1618,You know Wilmont?,Yeah.
1619,You like that?,Very much.
1620,Okay.,"Yeah? Oh, great!"
1621,Yeah.,When?
1622,When?,Tomorrow?
1623,Yo ho ho!,It's three.
1624,"No, it isn't that.",I want to know you.
1625,More?,No. Thanks.
1626,Joely...,"Yeah, Tangerine?"
1627,There's this guy!,What?
1628,"Naomi, I guess.",Yeah.
1629,Yeah.,What was I wearing?
1630,Hi there.,Hi.
1631,"Oh God, how horrid.",I'm Joel.
1632,I know.,What do we do?
1633,Male or female?,Female.
1634,Cool.,What are you doing?
1635,"Bye, Joel.",I love you.
1636,Yeah.,When?
1637,When?,Tomorrow?
1638,Make love?,Have sex. Y'know --
1639,Have sex. Y'know --,"Oh, um..."
1640,Your dried cum.,Jesus.
1641,Hi.,How's it going?
1642,I just got in.,Long day thinking.
1643,It's them.,It's too late.
1644,Hi.,Hi.
1645,Hi.,How was it?
1646,"Hi, Rob and Carrie.",Go back to sleep.
1647,We'll speak soon.,'Night.
1648,Boo.,Hi.
1649,Stan... c'mon...,Sorry. I just --
1650,It's freezing out.,You found us okay?
1651,It's stopped.,What?
1652,He's coming?,You better go.
1653,You better go.,Hell no.
1654,Oh.,Hi.
1655,What's this?,Nothing.
1656,Nothing.,I know what it is.
1657,Mary...,Yes?
1658,"Cole slaw, ice tea?",Thanks.
1659,Thanks.,"Welcome, Howard."
1660,What was that?,Clockworks.
1661,Clockworks.,Clockworks?
1662,I don't.,You don't?
1663,Tell me about it.,About...
1664,What do you think?,Well.... er...
1665,Yep.,Hitchhiking?
1666,Hitchhiking?,I'm the best.
1667,I'm the best.,You're the best?
1668,Holy shit...,Justin?
1669,But Justin...,I'll get him.
1670,What?,Coffee.
1671,Coffee.,"No, thank you."
1672,Is that an offer?,It is not.
1673,What...?,Run!
1674,Please... kill...,Oh God...
1675,What does?,The dark inside me.
1676,I found one.,Alive?
1677,Alive?,Frozen.
1678,Skipper...,Peters...
1679,Peters...,...you okay?
1680,Any survivors?,Negative.
1681,If it worked.,"If it worked, yes."
1682,The date.,What about it?
1683,What are you?,You know.
1684,Jesus...,What is that?
1685,"Yes, sir.",Dr. Weir...!
1686,Skipper...,"What is it, Smith?"
1687,Everybody okay?,We're all here.
1688,Miller...,"What is it, Starck?"
1689,BLOW THE FUCKER UP.,Blow it up?
1690,Weir.,He's dead...
1691,No. I saw nothing.,I did.
1692,You got any coffee?,It's cold.
1693,It's cold.,I don't care.
1694,What is it?,Ship's log.
1695,He didn't.,"Oh, he did."
1696,Five times.,I had it at four.
1697,I had it at four.,This makes five.
1698,What the --!,Ben. Are you okay?
1699,You're hot!,So are you!
1700,You're on fire!,Not this again --
1701,Not this again --,No: You're ON FIRE!
1702,Stop it.,"Okay, ""mom."""
1703,Feeling better?,"Yes, thanks."
1704,Which was?,Passion.
1705,Ben did this.,Ben did this?
1706,"Easy, mon.",Later.
1707,"Hi, Brad.",Sis.
1708,I'm just guessing.,Well... it's true.
1709,You are a virgin!,I didn't say that.
1710,I didn't say that.,But your face did!
1711,"Yes, sir.",You're fired.
1712,Leave me alone.,Dad says!
1713,I would. Yeah.,Really?
1714,"Hey, Rat.",Yeah?
1715,Yeah?,Ace the jacket.
1716,Yo.,Damone. It's Mark.
1717,Poor guy.,Really.
1718,Who's that?,"That's me, Merv."
1719,All right.,I like sex.
1720,Was it great?,It was okay.
1721,What do you want?,I want romance.
1722,Where's Doug?,He's not coming.
1723,"Aloha, Mr. Hand!","Aloha, Spicoli."
1724,We keep them.,You keep them.
1725,Are you all right?,Oh yeah.
1726,Anything to drink?,Two Cokes.
1727,Two Cokes.,Okay. Thanks.
1728,Let's have lunch!,Righto!
1729,Naked!?,Naked.
1730,Why?,Why what?
1731,Not much. Why?,I have to go.
1732,I have to go.,GO?
1733,How about a check?,Whatever's right.
1734,Plans?,Lucy.
1735,Some of what?,Extract of pineal!
1736,IS IT CLEAR?!,Yeah.
1737,Where's that?,Upstairs.
1738,Wha?,OPEN THE DOOR!
1739,They're right here.,Hey!
1740,Fuck you too.,Get in line!
1741,Scared?,No. You?
1742,Ohhh.,What?
1743,What?,Look.
1744,We're better off.,Who's with me?
1745,Come on!,He's dead.
1746,"What now, Geronimo?",My truck.
1747,"Your brother, huh?",Yep.
1748,I'm in.,Anyone else?
1749,We gotta try.,Anybody else?
1750,We gotta be close.,What?
1751,Sure.,How much you got?
1752,He's dead.,What?
1753,What?,What?
1754,Is it gassed up?,Fully.
1755,Fully.,Four door?
1756,Four door?,Two.
1757,Two.,Open?
1758,Open?,Covered.
1759,Covered.,How many?
1760,How many?,Holds four.
1761,Holds four.,Max?
1762,Max?,Seven.
1763,Seven.,Nine?
1764,Nine?,Seven.
1765,Seven.,Keys.
1766,Welcome back.,F-f-fuck you.
1767,Bullshit.,No bullshit.
1768,Got 'cha!,HOLD THAT TIGHT!
1769,"'Eh, Chief?",Duh hickey.
1770,"Fine, Chief.",Gimme the keys.
1771,Shit!,I'm fine! I'm fine!
1772,SHIT.,MOVE YOUR ASS!
1773,COME ON!,HELLLLLLLLP!!
1774,HELP MEEE!,BONSAI!
1775,OH JESUS!,HELLLPPP!
1776,DON'T!,YOU'LL HIT US!
1777,Hold it!,Whoa!
1778,Let's go!,Wait God-dammit!
1779,Go! Go!,Not without you!!!
1780,Not without you!!!,Go!!!
1781,Get to your cars!,GO-GO-GO!!
1782,Did we make it?,I think --
1783,I'm not!,You're afraid!
1784,You're afraid!,I'm not!
1785,Madam...?,Thank you.
1786,"Hello, Harold.",Frances.
1787,Frances.,Where's Clifford?
1788,Where's Clifford?,He's not here.
1789,He's not here.,Oh.
1790,Who?,An actress.
1791,An actress.,A rich actress.
1792,...Yes.,Without me.
1793,Without me.,Showdown.
1794,Harry!,I gotta go now.
1795,"Please, Francie...",Daddy!
1796,Bread?,Thank you.
1797,Age?,Fifteen.
1798,Fifteen.,Address?
1799,Harry.,Harry.
1800,How'd I look?,Enh.
1801,What?,Quietly.
1802,Frances...,What?
1803,Oh no...,Eight stories.
1804,"Serious, huh?",Yeah.
1805,What's that?,You can't drink.
1806,What's that?,Will you marry me?
1807,Frances! Frances!,Who?
1808,Where to?,Oh Harry...
1809,No.,"No, we're not."
1810,That would be okay.,Just a little way.
1811,And no people.,Yes.
1812,Yeah.,What'd you do?
1813,Shit!,Run!
1814,Who're you?,I live here.
1815,You think I got it?,You got it.
1816,I don't care.,...You will.
1817,"You kill me, Mama.",What?
1818,What?,Go on...
1819,I'll be back.,At one. Promise?
1820,At one. Promise?,Sure.
1821,Excuse me.,Yes...?
1822,Yes...?,Don't I know you?
1823,Don't I know you?,I don't believe so.
1824,And what's that?,Normal. Average.
1825,Symington says...,Sedate her.
1826,What?,'Incurable.'
1827,Yes.,I was watching.
1828,She's beautiful.,She's not for you.
1829,Are you all right?,Fine.
1830,Father's so proud.,And you?
1831,You make me weak.,Not as weak as I.
1832,Professor?,Oh God.
1833,I am not mad.,As a march hare.
1834,Quite a place.,"Thank you, Henry."
1835,"Thank you, Henry.",For what?
1836,Melvin Belli.,I was careless.
1837,"Good night, Alice.","Good night, Brenda."
1838,Next Friday.,"Thanks, Alice."
1839,"Oh, my God...",You okay?
1840,Filmmaker.,Artist.
1841,Help you clean up?,Absolutely.
1842,Where?,They're off now.
1843,Jack?,Marcie?
1844,Marcie?,"Hey, guys!"
1845,I wouldn't know.,"Oh, you..."
1846,Claudette...,Somebody'll see.
1847,Somebody'll see.,"No, they won't..."
1848,Give me a hand?,For sure.
1849,You saved my life.,I had to.
1850,I had to.,Thanks.
1851,What is it?,Is it stuck?
1852,I love you.,I love you.
1853,What about Neddy?,I don't love Neddy.
1854,Ned!,Don't call him.
1855,Mmmmmmmph?,Mmmmmmmph.
1856,Mmmmmmmph.,Best over...
1857,Best over...,Umhummmmph.
1858,I got to.,Aw.
1859,How many with you?,Just my son and I.
1860,"Yeah, follow us.",So let's do it.
1861,So let's do it.,Vamanos!
1862,What's your name?,Jacob.
1863,Not a chance.,Come again?
1864,Who's this?,My wife.
1865,In heaven.,She's dead?
1866,She's dead?,"Yes, she is."
1867,"Yes, she is.",How'd she die?
1868,How'd she die?,Auto wreck.
1869,Is this real?,Yes.
1870,Real McCoy.,You're a preacher?
1871,You're a preacher?,I was a minister.
1872,Yes.,Why'd ya quit?
1873,Who else?,Pass.
1874,To your family.,To yours.
1875,In the Winnebago.,"In other words, no."
1876,Did he...?,Yep.
1877,I promise.,"Kate, Scott?"
1878,I promise.,Scott?
1879,I'm going for 'em!,No!
1880,Mexico.,What's in Mexico?
1881,What's in Mexico?,Mexicans.
1882,Yes.,Do you believe me?
1883,Do you believe me?,Yes.
1884,Daddy's dead.,Noooo!
1885,Watch my back!,Anytime.
1886,I'm sorry.,Me too.
1887,See ya.,Later.
1888,Do they have cable?,No.
1889,Sight seein'.,What'd ya see?
1890,What'd ya see?,Cops.
1891,Where's the woman?,What?
1892,Richard!,What?
1893,What do you mean?,Where are you?
1894,Where are you?,I'm here with you.
1895,"No, sir.","No, sir, WHAT?"
1896,"Aw, what is this...",Sir...
1897,"Ah, c'mon...",Motherachrist...
1898,"Fine by me, sir!","No problem, sir!"
1899,Yes?,Did you hear?
1900,"""Coronado.""",California.
1901,You know him.,Sounds familiar.
1902,O'Neil?,Sir?
1903,"""In Washington...""",What?
1904,He was married?,At first.
1905,"Do you, uh, know...","Sure, sure."
1906,'Cool?,Smoke it!
1907,Do you?,No.
1908,Clear.,North?
1909,Subject?,"O'Neil, Jordan."
1910,So you made it.,What?
1911,...he's pregnant.,Are you sure?
1912,What's it to you?,Can I use some?
1913,Can I use some?,What do I get?
1914,Mr. Caiman...,Call me Charlie.
1915,I can't.,It's your choice.
1916,Merde!,"Allez, allez!"
1917,You're fast.,That is our job.
1918,Do I know you?,We've met before.
1919,Hello?,It's Raymond.
1920,It's Raymond.,Where are you?
1921,What?  What?,Nothing.
1922,No I didn't.,Yes you did.
1923,"No, wait, are you-","Lt. Madison, GO."
1924,"Lt. Madison, GO.",Shit! Go!
1925,Shit! Go!,GO Commander.
1926,Up.,What?  Up?
1927,Your last name.,"Yeah, what is it?"
1928,What?,You smiled at me.
1929,We pretend...,Simpler.
1930,Simpler.,We.. We lie.
1931,"Oh, right, sorry.","Okay, let's go."
1932,Is that a fact.,It is.
1933,Wil...,"Yes, general?"
1934,I only meant...,These supplies...?
1935,Yes!,Who says so?
1936,Who says so?,I say!
1937,I say!,I see...
1938,You get the money?,No. What's this?
1939,Where is my nephew?,Your who?
1940,Your who?,Yayo. Where is he?
1941,There's Ilona.,What about her?
1942,I need the money.,What money?
1943,Ray Barboni?,Who is this?
1944,What?,"Look at me, Ray."
1945,He owes me money.,"Get in line, bro."
1946,You live in Miami?,That's right.
1947,You pack a gun?,Not really.
1948,Ever shot anybody.,Once.
1949,What's it called?,"""Mr. Lovejoy""."
1950,"Yeah, he told me.",Personally?
1951,"Martin, look at me.",I'm looking at you.
1952,How about this?,That's not bad.
1953,What's that?,Compass.
1954,It's all mine.,"Sit down, Leo."
1955,Harry... My God...,What happened?
1956,Are you going down?,I don't know.
1957,I'll be right back.,Go get your stuff.
1958,Pick 'n' Save.,Hm?
1959,Harry -,I'm going.
1960,'We?',Chili and me.
1961,How about now?,Sixty pounds.
1962,Sixty pounds.,What? You sure?
1963,One more?,Why not.
1964,Maureen.,What?
1965,What?,Maureen.
1966,Maureen.,Maureen?
1967,Roger.,Roger?
1968,Roger?,Yeah.
1969,Ready?,"Bring it on, dude."
1970,What're you crazy?,I like my job.
1971,Smokes?,Oh yeah.
1972,Try Wednesday.,Right. Wednesday.
1973,Dodge.  Dodge.,What?
1974,What?,Get up.
1975,Get up.,"Yeah, yeah."
1976,Mother fucker!,What is it?
1977,But how long?,Hard to say.
1978,How long?,"Three, four days."
1979,"Three, four days.","Goddamit, Dodge."
1980,Went aboard.,She take a radio?
1981,Dodge to Murphy.,Murphy.
1982,You smashed it!,What?!
1983,What?!,Don't lie to me!
1984,Don't lie to me!,What the fuck -- ?
1985,You're late.,Sorry.
1986,Sorry.,Don't fall asleep.
1987,Don't fall asleep.,Right.
1988,Coffee.,You're a pal.
1989,Any dizziness?,No.
1990,Candy?,It's my pen name.
1991,Coffee?,Yeah. Thanks.
1992,Did you see him?,Who?
1993,Got your light?,Yup.
1994,Murphy to Epps.,Epps.
1995,How's he doing?,Same. Any luck?
1996,Hey.,Hey.
1997,Hey.,Couldn't sleep.
1998,Showing you what?,What happened.
1999,Murphy to Epps.,"Epps, over."
2000,Epps? You there?,Right here.
2001,What happened?,We hit land.
2002,We hit land.,What?
2003,Greer to Murphy.,Go.
2004,It's funny.,How's that?
2005,"Murphy, goddamit.",Sorry.
2006,Morning.,You're up late.
2007,Greer?,Moving to Sweden.
2008,How're you feeling?,Lost my sea legs.
2009,What happened?,You don't remember?
2010,It's a Noaa buoy.,A what?
2011,Who?,Guess.
2012,Guess.,How should I know?
2013,Who?,Give up?
2014,Give up?,YES.
2015,YES.,Maxine.
2016,Maxine.,Not the Maxine?
2017,Not the Maxine?,Yup.
2018,But I can't --,JUST DO IT!
2019,"Well, yes...",I...
2020,It's not optional!,Jesus...
2021,Hi Josh.,Hi.
2022,Hi... what's up?,Can I come in?
2023,Hi Enid.,Hey Josh.
2024,What? Why?,Forget it...
2025,Why?,Just look at them!
2026,Much later.,"In fact, never."
2027,It's obviously him!,I can't believe it!
2028,Are you sure?,Totally! Look!
2029,"Ew, look at this...",Gross!
2030,There he is...,As always.
2031,JOSH!,JOSH!
2032,What? Where?!,It's a surprise.
2033,Where?,Anthony's II!
2034,Anthony's II!,No way... when?
2035,Go ahead...,"No, really..."
2036,Nothing.,When was this?
2037,"So, whaddya think?",It's fine.
2038,What time?,I dunno...
2039,Seymour does.,Who does?
2040,Tell me what?,Punk rock is over!
2041,"Go die, asshole!",Get a job!
2042,What?,Five hundred.
2043,Oops! I dropped it!,NO!!!
2044,I don't think so...,PLEASE? We have to!
2045,Shh!,OH MY GOD!
2046,Really?,Never...
2047,Uh... hello?,"Hi, it's me..."
2048,"Hi, it's me...","Oh, hi..."
2049,"Oh, hi...","So, what happened?"
2050,Boo!,YAAA!
2051,I had to see you.,What's up?
2052,What do you want?,What do you want?
2053,What do you want?,I-I-I...
2054,Yeah.,Call me sometime.
2055,Seymour?,Yes?
2056,Good luck.,Why?
2057,For you.,"Thank you, Samuel."
2058,"Thank you, Samuel.",Good news?
2059,He has children?,Once... 
2060,How many cattle?,Four should do it.
2061,I won't.,Thank you.
2062,I'll do it.,I'll supervise.
2063,Good luck.,Thanks.
2064,-- the sorrow --,I command you.
2065,Egon!,"Hello, Venkman."
2066,I'm Egon --,And we're the ...
2067,I'm Ray --,I'm Peter --
2068,My Fault!,She's new in town.
2069,Ready?,I'm ready.
2070,I'm ready.,Then let's do it.
2071,Huh?  What?,You finished here?
2072,You finished here?,What?  Yeah.
2073,And pure --,And decent.
2074,"Oh, Dana, it's you.","Hi, Louis."
2075,That's too bad.,What?
2076,Damn!,Are you all right?
2077,Are you all right?,"Yeah, yeah."
2078,Out!,I want to help you.
2079,I want to help you.,I'll scream.
2080,I'll scream.,Don't scream.
2081,Don't scream.,Then leave.
2082,Goodbye.,No kiss?
2083,Great rehearsal.,You heard it?
2084,I'm always serious.,Wow!
2085,Who?,Gozer.
2086,Mmmhmmm.,"Me, too."
2087,I'm serious.,So am I.
2088,Tomorrow?,As soon as I can.
2089,Greeks?,Athenians...
2090,Hello.,Hello.
2091,Aren't you eating?,No.
2092,No.,Why not?
2093,No -- why should I?,I don't know.
2094,Could you do it?,No.
2095,"But, Elaine --",Where is the car?
2096,"No, I couldn't.",But could you try?
2097,But could you try?,No.
2098,Wait a minute.,Is anything wrong?
2099,Do you?,Yes.
2100,Yes.,With a family?
2101,Yes.,I'm glad.
2102,I do.,You do?
2103,What is it?,That woman --
2104,That woman --,What?
2105,Elaine --,Oh my God --
2106,No -- don't cry --,GET OUT!
2107,GET OUT!,Don't cry. 
2108,Don't cry. ,Get out of here.
2109,Here? In Berkeley?,Yes.
2110,Here he comes.,What?
2111,What do you think?,I think it is.
2112,What did she say?,Let me go.
2113,Are you going home?,No.
2114,But Elaine --,Goodbye.
2115,Benjamin?,What?
2116,What?,Will you kiss me!
2117,You won't?,I don't know.
2118,I don't know.,But you might.
2119,But you might.,I might.
2120,Yes.,When?
2121,When?,I don't know.
2122,You really will?,Yes.
2123,Shhhh.,Where did he do it?
2124,Benjamin?,What?
2125,Ben.,Mr. McQuire.
2126,"Yes, sir.",Are you listening?
2127,Are you listening?,Yes I am.
2128,Yes I am.,Plastics.
2129,You a student?,Not exactly.
2130,BENJAMIN?,Yes.
2131,Give me an hour.,What?
2132,Where is it?,What?
2133,Oh no.,Sir?
2134,Is it a girl?,Is what a girl?
2135,In general.,That's right.
2136,You don't?,No. 
2137,No. ,Let's go.
2138,Thank you.,Right.
2139,All right then.,What do you drink?
2140,Drink?,No.
2141,What?,Did you know that?
2142,No.,What?
2143,Oh my God.,Pardon?
2144,Like what?,What do you think?
2145,What do you think?,Well I don't know.
2146,Her portrait?,Yes.
2147,Yes.,No.
2148,Benjamin?,Yes?
2149,Thank you.,Right.
2150,"Yes, I do.",I've got to go.
2151,Benjamin?,Yes.
2152,"Hello, Benjamin.",Oh. Hello. Hello.
2153,May I sit down?,Of course.
2154,May I have a drink?,A drink? Of course.
2155,He didn't see me.,Waiter!
2156,I haven't. No.,Do you want to?
2157,Now?,Yes.
2158,Benjamin.,Yes?
2159,To tell you?,Yes.
2160,The number.,What?
2161,Well.,Benjamin.
2162,Benjamin.,Yes?
2163,What?,A hanger.
2164,Oh -- yes. Wood?,What?
2165,Thank you.,You're welcome.
2166,Oh my God.,Well?
2167,Oh.,Don't you?
2168,Yes I do.,I got up.
2169,What one.,What?
2170,There!,What?
2171,There isn't any.,There's no risk?
2172,He's asleep.,Always?
2173,We're talking.,What?
2174,Right.,Thank you.
2175,No.,What?
2176,Yes.,At college.
2177,At college.,Yes.
2178,Art.,Art?
2179,I'm curious.,We'd go to his car.
2180,No.,Why not?
2181,I wouldn't know.,"Well, I'm not."
2182,"Well, I'm not.",You're not.
2183,Did I say that?,Of course you did.
2184,I'll find her.,I don't think so.
2185,I say I've got it.,Sir?
2186,I drive around.,What else?
